관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,노인복지시설개수,버스정류장개수,지하철역개수
11230-00001,청량,근린공원,,서울특별시 동대문구 청량리동 산1-1,37.5958125287434,127.04402714382,119871.0,,,,홍릉수목원,,1940/03/12,서울특별시 동대문구청,02-2127-4775,2021/06/25,2,3,0
11230-00002,우산각,어린이공원,서울특별시 동대문구 천호대로4길 22,서울특별시 동대문구 신설동 109-4,37.5734473627011,127.024430046061,5294.2,다목적구장,"조합놀이대, 흔들놀이, 그네",화장실,도서관,"다목적광장, 바닥분수",1963/04/26,서울특별시 동대문구청,02-2127-4776,2021/06/25,4,9,3
11230-00003,느티나무,어린이공원,,서울특별시 동대문구 용두동 138-61,37.5790275144782,127.032548504209,1719.0,,,,,,1976/03/11,서울특별시 동대문구청,02-2127-4776,2021/06/25,4,4,1
11230-00004,안골,어린이공원,서울특별시 동대문구 천호대로77다길 20,서울특별시 동대문구 장안동 402,37.5653482092613,127.064280105067,1652.3,,"조합놀이대, 시소, 그네, 흔들놀이, 모래놀이터",음수전,,,1976/06/25,서울특별시 동대문구청,02-2127-4776,2021/06/25,4,5,0
11230-00005,마로니에,어린이공원,,서울특별시 동대문구 장안동 325,37.5750102799359,127.07372104401,1656.2,,조합놀이대,,,,1976/06/25,서울특별시 동대문구청,02-2127-4776,2021/06/25,10,7,0
11230-00006,늘푸른,어린이공원,,서울특별시 동대문구 장안동 303,37.576211272783,127.071578016771,1653.1,,"조합놀이대, 그네, 흔들놀이",,,,1976/06/25,서울특별시 동대문구청,02-2127-4776,2021/06/25,9,8,0
11230-00007,늘봄,어린이공원,서울특별시 동대문구 장한로26나길 6,서울특별시 동대문구 장안동 343,37.5714537751419,127.072424369469,1659.2,,"조합놀이대, 모래놀이터","화장실, 음수전",,,1976/06/25,서울특별시 동대문구청,02-2127-4776,2021/06/25,9,15,0
11230-00008,한내,어린이공원,,서울특별시 동대문구 장안동 348,37.5678300254814,127.071151185327,1617.2,,"조합놀이대, 회전놀이, 그네, 흔들놀이, 짚라인, 모래놀이터",음수전,,,1976/06/25,서울특별시 동대문구청,02-2127-4776,2021/06/25,6,10,0
11230-00010,쉼터,어린이공원,서울특별시 동대문구 황물로17길 24,서울특별시 동대문구 답십리동 952-5,37.5648297316108,127.059554645958,1695.0,,"조합놀이대, 흔들놀이, 오르기",음수전,,,1978/06/12,서울특별시 동대문구청,02-2127-4776,2021/06/25,3,5,0
11230-00011,장안,근린공원,서울특별시 동대문구 장한로 191,서울특별시 동대문구 장안동 300,37.5773956410927,127.071410359511,14744.8,"배드민턴장, 족구장, 게이트볼장, 농구장 반코트","조합놀이대, 그네","화장실, 음수전",독서실,"바닥분수, 계류",1988/10/06,서울특별시 동대문구청,02-2127-4772,2021/06/25,9,9,0
11230-00012,장평,근린공원,서울특별시 동대문구 장안벚꽃로 77,서울특별시 동대문구 장안동 356,37.5671787748874,127.073954648545,15698.4,테니스장,,"화장실, 음수전",,벽천,1990/09/06,서울특별시 동대문구청,02-2127-4772,2021/06/25,6,5,0
11230-00013,미나리,어린이공원,서울특별시 동대문구 천호대로87길 43,서울특별시 동대문구 장안동 449,37.5637019389784,127.068084450739,1636.3,,"조합놀이대, 그네, 회전놀이, 흔들놀이, 모래놀이터","화장실, 음수전",,,1991/08/30,서울특별시 동대문구청,02-2127-4776,2021/06/25,3,9,0
11230-00014,장미,어린이공원,,서울특별시 동대문구 장안동 386,37.5716807884734,127.069181695967,1652.8,,"조합놀이대, 그네, 시소, 흔들놀이, 모래놀이터",,,,1991/08/30,서울특별시 동대문구청,02-2127-4776,2021/06/25,7,12,0
11230-00015,샛별,어린이공원,서울특별시 동대문구 장한로17길 20,서울특별시 동대문구 장안동 379,37.5679779382122,127.067363911887,1652.9,,"조합놀이대, 그네, 흔들놀이",,,,1991/08/30,서울특별시 동대문구청,02-2127-4776,2021/06/25,3,6,0
11230-00016,천장,어린이공원,서울특별시 동대문구 천장산로9길 68,서울특별시 동대문구 이문동 264-181,37.5986087672081,127.05378237959,1656.0,,,,,,1991/08/30,서울특별시 동대문구청,02-2127-4776,2021/06/25,0,1,0
11230-00017,홍릉,근린공원,서울특별시 동대문구 홍릉로 90,서울특별시 동대문구 청량리동 산 1-145,37.5895837930767,127.043537625987,102920.0,배드민턴장,"조합놀이대, 모래놀이터","전망데크, 화장실, 음수전",정보화도서관,유아숲체험장,1994/04/26,서울특별시 동대문구청,02-2127-4775,2021/06/25,3,2,0
11230-00018,답십리,근린공원,서울특별시 동대문구 답십리로 209,서울특별시 동대문구 답십리동 산 2-9,37.5737600225103,127.063557866963,160857.6,"배드민턴장, 지압보도","유아숲체험장, 모래놀이터","화장실, 음수전",,유아숲체험장,1996/06/19,서울특별시 동대문구청,02-2127-4775,2021/06/25,9,5,0
