장소유형코드,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
1,논현노인종합복지관,서울특별시,강남구,11680,서울특별시 강남구 강남대로128길 59,서울특별시 강남구 논현동 125-13,37.51206542,127.026071,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,강남구노인종합복지관,서울특별시,강남구,11680,서울특별시 강남구 삼성로 628,서울특별시 강남구 삼성동 66,37.5159099,127.052119,50,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,한마음노인복지센터,서울특별시,강남구,11680,서울특별시 강남구 논현로 136길 5-8,서울특별시 강남구 논현동 80-11,37.516415,127.030415,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,강남시니어플라자,서울특별시,강남구,11680,서울특별시 강남구 봉은사로 332,서울특별시 강남구 역삼동 682-8,37.509792,127.0432194,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,대치노인복지센터,서울특별시,강남구,11680,서울특별시 강남구 역삼로 69길 22,서울특별시 강남구 대치동 901-4,37.503015,127.054106,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,학수정데이케어센터,서울특별시,강남구,11680,서울특별시 강남구 도산대로17길 45,서울특별시 강남구 신사동 544-29,37.521378,127.023502,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,압구정노인복지센터,서울특별시,강남구,11680,서울특별시 강남구 도산대로53길 5,서울특별시 강남구 신사동 652-13,37.523519,127.038167,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,강남스포츠문화센터,서울특별시,강남구,11680,서울특별시 강남구 밤고개로1길 52,서울특별시 강남구 수서동 718,37.48900105,127.105273,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,대한노인회강남지회,서울특별시,강남구,11680,서울특별시 강남구 선릉로 706,서울특별시 강남구 청담동 40-33,37.518054,127.041219,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,서울요양원,서울특별시,강남구,11680,서울특별시 강남구 헌릉로 590길 50,서울특별시 강남구 세곡동 520,37.4613719,127.1040205,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,서울시니어스타워,서울특별시,강남구,11680,서울특별시 강남구 자곡로 100-2,서울특별시 강남구 자곡동 631,37.4714954,127.095746,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,더시그넘하우스,서울특별시,강남구,11680,서울특별시 강남구 자곡로 204-25,서울특별시 강남구 자곡동 664,37.47322941,127.1037792,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,강남70플러스라운지,서울특별시,강남구,11680,서울특별시 강남구 남부순환로378길 20,서울특별시 강남구 도곡동 420-10,37.48498254,127.0460984,30,서울특별시 강남구,02-3423-6402,수서경찰서,N,,,2021-08-10
2,다니엘의집4호,서울특별시,강남구,11680,서울특별시 강남구 도산대로 4길 14-5,서울특별시 강남구 논현동 16-14,37.5153213,127.020927,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,서울시립양로원,서울특별시,강동구,11740,서울특별시 강동구 고덕로 199,서울특별시 강동구 고덕동 317-23,37.5558669,127.1469617669,30,서울특별시 강동구청,02-3425-5070,강동경찰서,N,,20,2020-09-11
1,구립해공노인복지관,서울특별시,강동구,11740,서울특별시 강동구 천중로17길 42-16,서울특별시 강동구 천호동 302-4,37.5462098401,127.1317001,30,서울특별시 강동구청,02-3425-5070,강동경찰서,Y,1.0,3,2020-09-11
1,강동노인회관,서울특별시,강동구,11740,서울특별시 강동구 천중로49길 104,서울특별시 강동구 명일동 351-2,37.54525764,127.144746,30,서울특별시 강동구청,02-3425-5070,강동경찰서,Y,1.0,3,2020-09-11
1,성내천경로당,서울특별시,강동구,11740,서울특별시 강동구 성안로3길 112-9,서울특별시 강동구 성내동 558-8,37.5285126023,127.1240782,30,서울특별시 강동구청,02-3425-5070,강동경찰서,N,1.0,3,2020-09-11
1,성안장수마을요양원,서울특별시,강동구,11740,서울특별시 강동구 구천면로68길 46,서울특별시 강동구 천호동 26-18,37.5485615,127.1426702,30,서울특별시 강동구청,02-3425-5070,강동경찰서,Y,1.0,3,2020-09-11
1,강동노인종합복지관,서울특별시,강동구,11740,서울특별시 강동구 동남로71길 32-5,서울특별시 강동구 명일동 48-10,37.5522497,127.1546205542,30,서울특별시 강동구청,02-3425-5070,강동경찰서,Y,1.0,18,2020-09-11
1,쉼터경로당,서울특별시,강동구,11740,서울특별시 강동구 올림픽로89길 11-15,서울특별시 강동구 천호동 322-21,37.5467683549,127.125446,30,서울특별시 강동구청,02-3425-5070,강동경찰서,N,,4,2020-09-11
2,암사재활원,서울특별시,강동구,11740,서울특별시 강동구 올림픽로 864,서울특별시 강동구 암사동 196-1,37.5579685143,127.1314305,30,서울특별시 강동구청,02-3425-5070,강동경찰서,Y,1.0,20,2020-09-11
2,사랑쉼터의 집,서울특별시,강동구,11740,서울특별시 강동구 상암로79길 24,서울특별시 강동구 상일동 473-1,37.5467303,127.1672648,30,서울특별시 강동구청,02-3425-5070,강동경찰서,Y,1.0,8~20,2020-09-11
1,강북노인종합복지관,서울특별시,강북구,11305,서울 강북구 삼양로 92길 40,,37.635732,127.018736,30,서울특별시 강북구,02-901-5924,강북경찰서,N,,8~10,2021-05-20
1,강북노인회관,서울특별시,강북구,11305,서울 강북구 삼양로 280-1,,37.628507,127.018166,30,서울특별시 강북구,02-901-5924,강북경찰서,N,,20,2021-05-20
1,강서노인종합복지관,서울특별시,강서구,11500,서울특별시 강서구 화곡로61길 85,서울특별시 강서구 등촌동 661-4,37.55812319,126.8475501,30,서울특별시 강서구,02-2600-4137,강서경찰서,N,,8,2021-08-17
1,등촌4종합복지과경로당,서울특별시,강서구,11500,서울특별시 강서구 공항대로39길 59,서울특별시 강서구 등촌동 690,37.56225807,126.8428966,30,서울특별시 강서구,02-2600-4137,강서경찰서,N,,12,2021-08-17
1,천사노인요양원,서울특별시,강서구,11500,서울특별시 강서구 강서로45다길 30-22,서울특별시 강서구 화곡동 1010,37.54669037,126.8334872,30,서울특별시 강서구,02-2600-4137,강서경찰서,N,,6,2021-08-17
1,가양시니어스타워,서울특별시,강서구,11500,서울특별시 강서구 화곡로68길 102,서울특별시 강서구 등촌동 637,37.55698815,126.8593317,30,서울특별시 강서구,02-2600-4137,강서경찰서,N,,6~10,2021-08-17
