"장소유형코드",대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
1,논현노인종합복지관,서울특별시,강남구,11680,서울특별시 강남구 강남대로128길 59,서울특별시 강남구 논현동 125-13,37.51206542,127.026071,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,강남구노인종합복지관,서울특별시,강남구,11680,서울특별시 강남구 삼성로 628,서울특별시 강남구 삼성동 66,37.5159099,127.052119,50,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,한마음노인복지센터,서울특별시,강남구,11680,서울특별시 강남구 논현로 136길 5-8,서울특별시 강남구 논현동 80-11,37.516415,127.030415,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,강남시니어플라자,서울특별시,강남구,11680,서울특별시 강남구 봉은사로 332,서울특별시 강남구 역삼동 682-8,37.509792,127.0432194,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,대치노인복지센터,서울특별시,강남구,11680,서울특별시 강남구 역삼로 69길 22,서울특별시 강남구 대치동 901-4,37.503015,127.054106,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,학수정데이케어센터,서울특별시,강남구,11680,서울특별시 강남구 도산대로17길 45,서울특별시 강남구 신사동 544-29,37.521378,127.023502,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,압구정노인복지센터,서울특별시,강남구,11680,서울특별시 강남구 도산대로53길 5,서울특별시 강남구 신사동 652-13,37.523519,127.038167,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,강남스포츠문화센터,서울특별시,강남구,11680,서울특별시 강남구 밤고개로1길 52,서울특별시 강남구 수서동 718,37.48900105,127.105273,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,대한노인회강남지회,서울특별시,강남구,11680,서울특별시 강남구 선릉로 706,서울특별시 강남구 청담동 40-33,37.518054,127.041219,30,서울특별시 강남구,02-3423-6402,강남경찰서,Y,,,2021-08-10
1,서울요양원,서울특별시,강남구,11680,서울특별시 강남구 헌릉로 590길 50,서울특별시 강남구 세곡동 520,37.4613719,127.1040205,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,서울시니어스타워,서울특별시,강남구,11680,서울특별시 강남구 자곡로 100-2,서울특별시 강남구 자곡동 631,37.4714954,127.095746,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,더시그넘하우스,서울특별시,강남구,11680,서울특별시 강남구 자곡로 204-25,서울특별시 강남구 자곡동 664,37.47322941,127.1037792,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
1,강남70플러스라운지,서울특별시,강남구,11680,서울특별시 강남구 남부순환로378길 20,서울특별시 강남구 도곡동 420-10,37.48498254,127.0460984,30,서울특별시 강남구,02-3423-6402,수서경찰서,N,,,2021-08-10
2,다니엘의집4호,서울특별시,강남구,11680,서울특별시 강남구 도산대로 4길 14-5,서울특별시 강남구 논현동 16-14,37.5153213,127.020927,30,서울특별시 강남구,02-3423-6402,수서경찰서,Y,,,2021-08-10
