"장소유형코드",대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
1,갈현노인복지관,서울특별시,은평구,11380,서울특별시 은평구 통일로89길 12-6,,37.6248740000,126.9186635000,30,은평구청,02-351-7772,은평경찰서,Y,2,6,2021-06-01
1,응암노인복지관,서울특별시,은평구,11380,서울특별시 은평구 응암로21가길 5-1,,37.5945460000,126.9167570000,30,은평구청,02-351-7772,서부경찰서,Y,2,10,2021-06-01
1,시립은평노인복지관,서울특별시,은평구,11380,서울특별시 은평구 연서로 415,,37.6320260000,126.9301400000,50,은평구청,02-351-7772,은평경찰서,Y,1,30,2021-06-01
1,불광노인복지관,서울특별시,은평구,11380,서울특별시 은평구 연서로32길 17-11,,37.6194356000,126.9248850000,30,은평구청,02-351-7772,은평경찰서,Y,1,8,2021-06-01
1,신사노인복지관,서울특별시,은평구,11380,서울특별시 은평구 증산로15길 47,,37.5903102000,126.9084837000,30,은평구청,02-351-7772,서부경찰서,Y,1,12,2021-06-01
1,역촌노인복지관,서울특별시,은평구,11380,서울특별시 은평구 연서로3나길 11-30,,37.6033040000,126.9113410000,30,은평구청,02-351-7772,서부경찰서,Y,2,7,2021-06-01
1,구산거북경로당,서울특별시,은평구,11380,서울특별시 은평구 연서로13길 29-7,,37.6098005000,126.9127430000,30,은평구청,02-351-7772,은평경찰서,Y,1,6,2021-06-01
1,대조노인복지관,서울특별시,은평구,11380,서울특별시 은평구 역말로9길 27,,37.6134210000,126.9219210000,30,은평구청,02-351-7772,은평경찰서,Y,2,8,2021-06-01
1,구산경로당,서울특별시,은평구,11380,서울특별시 은평구 서오릉로21길 11-8,,37.6147623000,126.9079010000,30,은평구청,02-351-7772,은평경찰서,Y,1,8,2021-06-01
1,여기소경로당,서울특별시,은평구,11380,서울특별시 은평구 의상봉길 8,,37.6533200000,126.9395400000,30,은평구청,02-351-7772,은평경찰서,Y,1,6,2021-06-01
