관리번호,공원명,공원구분,소재지도로,소재지지번,위도,경도,공원면적,공원보유시,공원보유_1,공원보유_2,공원보유_3,공원보유_4,지정고시일,관리기관명,전화번호,데이터기준,NUM_복지시,NUM_subway,NUM_bus,NUM_노인보호구역
11620-00001,상도근린공원,근린공원,서울특별시 관악구 국회단지길 144,서울특별시 관악구 봉천동 산 103-52,37.491878999999997,126.941429999999997,"87458",배드민턴장,조합놀이대,화장실,,,1940/03/12,서울특별시 관악구청,02-879-6503,2021/03/10,1.000000000000000,0.000000000000000,12.000000000000000,0
11620-00017,국지,어린이공원,서울특별시 관악구 국회단지19길 23,,37.490053000000003,126.940606000000002,"1650",,미끄럼틀+조합놀이대,,,,1971/02/15,서울특별시 관악구청,02-879-6504,2021/03/10,1.000000000000000,0.000000000000000,13.000000000000000,0
11620-00018,서원,어린이공원,서울특별시 관악구 서원3길 10,,37.476815000000002,126.933237000000005,"2324",,그네+미끄럼틀+조합놀이대+오르는기구,,,,1971/03/26,서울특별시 관악구청,02-879-6504,2021/03/10,5.000000000000000,0.000000000000000,11.000000000000000,0
11620-00020,백설,어린이공원,서울특별시 관악구 관악로6길 50,,37.476236000000000,126.953512000000003,"1655",,그네+미끄럼틀+흔들말+조합놀이대,,,,1971/04/22,서울특별시 관악구청,02-879-6504,2021/03/10,5.000000000000000,0.000000000000000,3.000000000000000,1
11620-00024,신림근린공원,근린공원,서울특별시 관악구 남부순환로152길 53,,37.480884000000003,126.918233999999998,"90960",배드민턴장,,화장실+주차장,도서관,,1971/08/06,서울특별시 관악구청,02-879-6503,2021/03/10,1.000000000000000,0.000000000000000,4.000000000000000,0
11620-00025,장군봉근린공원,근린공원,,서울특별시 관악구 신림동 산1-1,37.478631000000000,126.939048999999997,"128100",배드민턴장+운동장,,화장실,,,1971/08/06,서울특별시 관악구청,02-879-6503,2021/03/10,2.000000000000000,0.000000000000000,3.000000000000000,0
11620-00027,비안,어린이공원,,서울특별시 관악구 봉천동 1530-14,37.480767000000000,126.940169999999995,"1661",,그네+조합놀이대+시소+흔들말,,,,1972/02/17,서울특별시 관악구청,02-879-6504,2021/03/10,4.000000000000000,1.000000000000000,5.000000000000000,0
11620-00046,새싹,어린이공원,서울특별시 관악구 양녕로6다길 11-4,,37.484451000000000,126.949377999999996,"1797",,조합놀이대+회전기구,,,,1977/04/20,서울특별시 관악구청,02-879-6504,2021/03/10,5.000000000000000,0.000000000000000,9.000000000000000,0
11620-00047,까치산근린공원,근린공원,,서울특별시 관악구 봉천동 산66-1,37.476436000000000,126.969324999999998,"64534",게이트볼장,조합놀이대,,,,1977/07/09,서울특별시 관악구청,02-879-6503,2021/03/10,5.000000000000000,0.000000000000000,3.000000000000000,0
11620-00028,원당,어린이공원,,서울특별시 관악구 봉천동 196-2,37.474839000000003,126.963329000000002,"1647",,그네+흔들말+조합놀이대,,,,1972/02/17,서울특별시 관악구청,02-879-6504,2021/03/10,5.000000000000000,1.000000000000000,7.000000000000000,0
11620-00033,까치,어린이공원,서울특별시 관악구 행운4길 2,,37.479923999999997,126.959507000000002,"1602",,그네+흔들말+조합놀이대,,,,1972/06/07,서울특별시 관악구청,02-879-6504,2021/03/10,6.000000000000000,0.000000000000000,10.000000000000000,0
11620-00034,모래내,어린이공원,,서울특별시 관악구 봉천동 1613-19,37.477901000000003,126.955455999999998,"1667",,그네+미끄럼틀+흔들말+조합놀이대,화장실,,,1972/06/07,서울특별시 관악구청,02-879-6504,2021/03/10,4.000000000000000,0.000000000000000,8.000000000000000,2
11620-00036,약수암,어린이공원,서울특별시 관악구 약수암길 33,,37.459511999999997,126.932978000000006,"1680",,흔들말+조합놀이대,,,,1973/06/22,서울특별시 관악구청,02-879-6504,2021/03/10,2.000000000000000,0.000000000000000,2.000000000000000,0
11620-00058,남강,어린이공원,,서울특별시 관악구 신림동 1678-12,37.473461000000000,126.924653000000006,"10350",,그네+미끄럼틀+흔들말+조합놀이대,,,,1978/06/17,서울특별시 관악구청,02-879-6504,2021/03/10,1.000000000000000,0.000000000000000,11.000000000000000,0
11620-00062,충효,어린이공원,,서울특별시 관악구 봉천동 1526-1,37.480969000000002,126.941047999999995,"3188",,그네+흔들말+조합놀이대,,,,1979/12/26,서울특별시 관악구청,02-879-6504,2021/03/10,5.000000000000000,1.000000000000000,13.000000000000000,0
