관리번호,공원명,공원구분,소재지도로,소재지지번,위도,경도,공원면적,공원보유시,공원보유_1,공원보유_2,공원보유_3,공원보유_4,지정고시일,관리기관명,전화번호,데이터기준,NUMPOINTS,NUM_전통시,NUM_주민센,NUM_복지시,NUM_자전거,NUM_지하철,NUM_버스정
11620-00001,상도근린공원,근린공원,서울특별시 관악구 국회단지길 144,서울특별시 관악구 봉천동 산 103-52,37.491879,126.94143,87458,배드민턴장,조합놀이대,화장실,,,1940-03-12,서울특별시 관악구청,02-879-6503,2021-03-10,1174,0,0,1,0,0,10
11620-00017,국지,어린이공원,서울특별시 관악구 국회단지19길 23,,37.490053,126.940606,1650,,미끄럼틀+조합놀이대,,,,1971-02-15,서울특별시 관악구청,02-879-6504,2021-03-10,1991,0,0,1,0,0,13
11620-00018,서원,어린이공원,서울특별시 관악구 서원3길 10,,37.476815,126.933237,2324,,그네+미끄럼틀+조합놀이대+오르는기구,,,,1971-03-26,서울특별시 관악구청,02-879-6504,2021-03-10,2598,1,1,5,0,0,11
11620-00020,백설,어린이공원,서울특별시 관악구 관악로6길 50,,37.476236,126.953512,1655,,그네+미끄럼틀+흔들말+조합놀이대,,,,1971-04-22,서울특별시 관악구청,02-879-6504,2021-03-10,1238,0,2,5,1,0,3
11620-00024,신림근린공원,근린공원,서울특별시 관악구 남부순환로152길 53,,37.480884,126.918234,90960,배드민턴장,,화장실+주차장,도서관,,1971-08-06,서울특별시 관악구청,02-879-6503,2021-03-10,554,0,0,1,0,0,4
11620-00025,장군봉근린공원,근린공원,,서울특별시 관악구 신림동 산1-1,37.478631,126.939049,128100,배드민턴장+운동장,,화장실,,,1971-08-06,서울특별시 관악구청,02-879-6503,2021-03-10,1716,1,1,2,0,0,3
11620-00027,비안,어린이공원,,서울특별시 관악구 봉천동 1530-14,37.480767,126.94017,1661,,그네+조합놀이대+시소+흔들말,,,,1972-02-17,서울특별시 관악구청,02-879-6504,2021-03-10,1405,1,1,4,1,1,5
11620-00046,새싹,어린이공원,서울특별시 관악구 양녕로6다길 11-4,,37.484451,126.949378,1797,,조합놀이대+회전기구,,,,1977-04-20,서울특별시 관악구청,02-879-6504,2021-03-10,2422,0,1,5,0,0,9
11620-00047,까치산근린공원,근린공원,,서울특별시 관악구 봉천동 산66-1,37.476436,126.969325,64534,게이트볼장,조합놀이대,,,,1977-07-09,서울특별시 관악구청,02-879-6503,2021-03-10,836,0,0,0,0,0,3
11620-00028,원당,어린이공원,,서울특별시 관악구 봉천동 196-2,37.474839,126.963329,1647,,그네+흔들말+조합놀이대,,,,1972-02-17,서울특별시 관악구청,02-879-6504,2021-03-10,1499,2,1,4,0,1,7
11620-00033,까치,어린이공원,서울특별시 관악구 행운4길 2,,37.479924,126.959507,1602,,그네+흔들말+조합놀이대,,,,1972-06-07,서울특별시 관악구청,02-879-6504,2021-03-10,1407,0,1,6,0,0,10
11620-00034,모래내,어린이공원,,서울특별시 관악구 봉천동 1613-19,37.477901,126.955456,1667,,그네+미끄럼틀+흔들말+조합놀이대,화장실,,,1972-06-07,서울특별시 관악구청,02-879-6504,2021-03-10,1323,2,0,4,1,0,8
11620-00036,약수암,어린이공원,서울특별시 관악구 약수암길 33,,37.459512,126.932978,1680,,흔들말+조합놀이대,,,,1973-06-22,서울특별시 관악구청,02-879-6504,2021-03-10,77,0,0,2,0,0,2
11620-00058,남강,어린이공원,,서울특별시 관악구 신림동 1678-12,37.473461,126.924653,10350,,그네+미끄럼틀+흔들말+조합놀이대,,,,1978-06-17,서울특별시 관악구청,02-879-6504,2021-03-10,1433,0,0,1,0,0,11
11620-00062,충효,어린이공원,,서울특별시 관악구 봉천동 1526-1,37.480969,126.941048,3188,,그네+흔들말+조합놀이대,,,,1979-12-26,서울특별시 관악구청,02-879-6504,2021-03-10,1711,1,1,5,1,1,13
