"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"관악구청 8층 대강당",관악구청,강당,연중무휴,09:00,22:00,09:00,18:00,Y,3,396000,1,150000,400,496,무대+빔프로젝트+음향시설+플래카드11mX1m,인터넷+전화+모바일,,서울특별시 관악구 관악로 145,,서울시 관악구청,행정지원과,02-879-5192,,37.47820977,126.9515032,2021-09-01
"관악구 구민회관 1층 강당",관악구민회관,강당,매주 일요일,09:00,22:00,09:00,21:00,Y,3,92400,1,46200,270,323,음향기기+무대+조명+피아노 별도금액 부과,인터넷+전화+모바일,,서울특별시 관악구 관악로5길 95,,서울시 관악구청,행정지원과,02-879-4941,,37.47720777,126.9513003,2021-09-01
"신림청소년독서실 프로그램실1",신림청소년독서실,강의실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,2,10000,,,18,26,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 난곡로64가길 19,,서울시 관악구 구립신림청소년독서실,구립신림청소년독서실,02-879-6175,,37.48046025,126.9157747,2021-09-01
"관악청소년회관 소극장",관악청소년회관,강당,매주 일요일,09:00,20:00,09:00,17:00,Y,3,170000,,,218,338,무대+음향시설,인터넷+전화+모바일+방문,,서울특별시 관악구 신림로23길 17,,서울시 관악청소년회관,관악청소년회관,02-879-6175,,37.47024426,126.9352434,2021-09-01
"중앙사회복지관 4층 회의실",중앙사회복지관,회의실,매주 일요일,00:00,00:00,09:00,17:00,N,,,,,30,45,책상+의자+화이트보드,인터넷+전화+방문,,서울특별시 관악구 봉천로41길 33,,서울시 관악구 중앙사회복지관,중앙사회복지관,02-879-5883,,37.4843604,126.948071,2021-09-01
"관악문화관도서관 5층 대강의실",관악문화관도서관,강의실,연중무휴,09:00,18:00,09:00,17:00,Y,3,50000,,,80,151,빔프로젝터+유선마이크+냉난방기,인터넷+전화+모바일+방문,,서울특별시 관악구 신림로3길 35,,서울특별시 관악문화관도서관,관악문화관도서관,02-879-5711,,37.46759657,126.9448723,2021-09-01
"관악구 보라매동 자치회관 3층 다목적실",보라매동 주민센터,다목적실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,80,207,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 봉천로 279-8,,서울시 관악구 보라매동주민센터,보라매동 주민센터,02-879-4209,,37.48817657,126.9327766,2021-09-01
"관악구 보라매동 자치회관 2층 강의실",보라매동 주민센터,강의실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,59,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 봉천로 279-8,,서울시 관악구 보라매동주민센터,보라매동 주민센터,02-879-4209,,37.48817657,126.9327766,2021-09-01
"관악구 은천동 주민센터 3층 다목적실",은천동 주민센터,다목적실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,48,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 봉천로33나길 30,,서울시 관악구 은천동주민센터,은천동 주민센터,02-879-4236,,37.48530564,126.942408,2021-09-01
"관악구 성현동 주민센터 2층 정보문화방",성현동 주민센터,다목적실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,10,28,책상+의자+칠판+노트북,인터넷+전화+모바일+방문,,서울특별시 관악구 구암길 38,,서울시 관악구 성현동주민센터,성현동 주민센터,02-879-4835,,37.48952862,126.9481579,2021-09-01
"관악구 성현동 주민센터 4층 회의실",성현동 주민센터,회의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,40,104,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 구암길 38,,서울시 관악구 성현동주민센터,성현동 주민센터,02-879-4835,,37.48952862,126.9481579,2021-09-01
"관악구 중앙동 자치회관 3층 다목적실",중앙동 주민센터,다목적실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,10,25,책상+의자+냉방기,인터넷+전화+모바일,,서울특별시 관악구 양녕로6다길 7,,서울시 관악구 중앙동주민센터,중앙동 주민센터,02-879-4294,,37.48419174,126.9497536,2021-09-01
"관악구 중앙동 자치회관 2층 강당",중앙동 주민센터,강당,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,100,207,책상+의자+방송시설+냉난방기,인터넷+전화+모바일,,서울특별시 관악구 양녕로6다길 7,,서울시 관악구 중앙동주민센터,중앙동 주민센터,02-879-4294,,37.48419174,126.9497536,2021-09-01
"관악구 중앙동 자치회관 3층 소회의실",중앙동 주민센터,다목적실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,12,25,책상+의자+TV+방송시설,인터넷+전화+모바일,,서울특별시 관악구 양녕로6다길 7,,서울시 관악구 중앙동주민센터,중앙동 주민센터,02-879-4294,,37.48419174,126.9497536,2021-09-01
"관악구 중앙동 자치회관 3층 프로그램실",중앙동 주민센터,강의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,24,35,책상+의자+냉방기,인터넷+전화+모바일,,서울특별시 관악구 양녕로6다길 7,,서울시 관악구 중앙동주민센터,중앙동 주민센터,02-879-4294,,37.48419174,126.9497536,2021-09-01
"관악구 청림동 자치회관 2층 회의실",청림동 자치회관,회의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,20,37,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 청림2길 37,,서울시 관악구 청림동주민센터,청림동 주민센터,02-879-4326,,37.48666023,126.9583045,2021-09-01
