"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"초등학교","공립","7041260","서울금나래초등학교","seoulgeumnaraeelementaryschool","서울특별시남부교육지원청","08611","서울특별시 금천구 시흥대로79길 37","(시흥동)","02-807-9821","http://geumnarae.es.kr","02-807-9823","남여공학","","N","","","전기","주간","20170301","20170410","B10","서울특별시교육청","서울특별시","","","","20210602"
"중학교","공립","7041195","한울중학교","Hanwool Middle School","서울특별시남부교육지원청","08566","서울특별시 금천구 독산로50길 60","한울중학교","02-856-4941","http://www.hanwool.ms.kr","02-858-5382","남여공학","","N","일반계","","전기","주간","19711229","19711229","B10","서울특별시교육청","서울특별시","","","","20210602"
"중학교","공립","7041184","안천중학교","Ancheon Middle School","서울특별시남부교육지원청","08597","서울특별시 금천구 한내로 69-44","(독산동/안천중학교)","02-894-1204","http://www.ancheon.ms.kr","02-894-5220","남여공학","","N","일반계","","전기","주간","19910121","19910605","B10","서울특별시교육청","서울특별시","","","","20210602"
"중학교","공립","7041182","시흥중학교","Siheung Middle School","서울특별시남부교육지원청","08650","서울특별시 금천구 시흥대로38길 60","/ 시흥중학교 (시흥동)","02-895-2302","http://shiheung.sen.ms.kr","02-894-6586","남여공학","","N","일반계","","전기","주간","19911030","19930504","B10","서울특별시교육청","서울특별시","","","","20210602"
"중학교","공립","7041181","세일중학교","Seil Middle School","서울특별시남부교육지원청","08533","서울특별시 금천구 시흥대로147길 34","(독산동)","02-856-0868","http://www.seil.ms.kr","02-839-3665","남여공학","","N","일반계","","전기","주간","19680806","19681020","B10","서울특별시교육청","서울특별시","","","","20210602"
"중학교","사립","7041179","문일중학교","Moonil Middle School","서울특별시남부교육지원청","08634","서울특별시 금천구 시흥대로47길 45","/ 문일중학교 (시흥동)","02-808-0297","http://www.moonil.ms.kr","02-805-3231","남","","N","일반계","","전기","주간","19671214","19671214","B10","서울특별시교육청","서울특별시","","","","20210602"
"중학교","공립","7041178","문성중학교","Munseong Middle School","서울특별시남부교육지원청","08551","서울특별시 금천구 독산로102길 78","/ 문성중학교 (독산동)","02-858-8446","http://www.munseong.ms.kr","02-838-8010","남여공학","","N","일반계","","전기","주간","19900120","19900504","B10","서울특별시교육청","서울특별시","","","","20210602"
"중학교","사립","7041176","동일중학교","Dongil Middle School　","서울특별시남부교육지원청","08656","서울특별시 금천구 탑골로10길 45","(시흥동)","02-802-0991","http://www.dongil.ms.kr","02-892-7261","남여공학","","N","일반계","","전기","주간","19681216","19690306","B10","서울특별시교육청","서울특별시","","","","20210602"
"중학교","공립","7041171","난곡중학교","Nangok Middle School","서울특별시남부교육지원청","08549","서울특별시 금천구 문성로 67","(독산동)","070-5080-0700","http://nangok.ms.kr","02-859-2141","남여공학","","N","일반계","","전기","주간","19800124","19800506","B10","서울특별시교육청","서울특별시","","","","20210602"
"중학교","공립","7041164","가산중학교","Gasan Middle School","서울특별시남부교육지원청","08584","서울특별시 금천구 시흥대로115길 48","(독산동)","02-804-1777","http://www.gasan.ms.kr","02-892-8477","남여공학","","N","일반계","","전기","주간","19700810","19710303","B10","서울특별시교육청","서울특별시","","","","20210602"
