"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11290-00001,성북,근린공원,,서울특별시 성북구 돈암동 86-4,37.600528,127.023636,69676.5,"배드민턴장1, 체력단련시설9",,"정자3, 장의자43",문화회관1,,1940-03-12,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00002,오동,근린공원,,서울특별시 성북구 하월곡동 산2-1,37.6108706217,127.0406997992,233989.7,"배드민턴장6, 체력단련시설303",,"정자3, 노인정1, 장의자173",도서관1,,1966-02-05,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00003,개운산,근린공원,,서울특별시 성북구 돈암동 산3-15 일대,37.59741206,127.0257184,208618,체력단련시설6,,"정자4, 야외탁자5, 장의자71",,,1940-03-12,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00004,청량,근린공원,,서울특별시 성북구 석관동 산1-5,37.604661,127.056385,329290,체력단련시설12,,"정자1, 장의자9",,,1940-03-12,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00005,모랫말,근린공원,,서울특별시 성북구 하월곡동 90-206,37.604825,127.032787,1740,체력단련시설7,"그네1, 시소1, 조합놀이대1",장의자14,,,1997-12-03,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00006,아름드리,근린공원,,서울특별시 성북구 하월곡동 225-2,37.610105,127.0359869,3782,,,,,,1999-11-17,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00007,숭인,근린공원,,서울특별시 성북구 보문동 6가 458-4,37.58287149,127.0178925,5332.6,,,,,,1977-07-09,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00008,삼선,어린이공원,,서울특별시 성북구 삼선동1가 303,37.5832358514,127.0103900048,10957,"배드민턴장1, 체력단련시설30","그네2, 모래밭1, 시소1, 정글집1, 조합놀이대1","정자3, 야외탁자3, 장의자41",,,1978-05-30,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00009,범바위,어린이공원,,서울특별시 성북구 안암동2가 140-3,37.585257,127.021534,1514,체력단련시설10,"그네1, 시소1, 조합놀이대1","정자1, 장의자4",,,1940-03-12,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00010,꿈나라,어린이공원,,서울특별시 성북구 보문동7가 108-2,37.580024,127.023018,1564,체력단련시설6,"그네1, 시소1, 조합놀이대1","정자1, 장의자7",,,1940-03-12,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00011,배밭골,어린이공원,서울특별시 성북구 정릉로10길 46,,37.60812583,126.9986863,263,체력단련시설3,"그네1, 시소1, 조합놀이대1",장의자4,,,1983-12-23,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00012,동산,어린이공원,,서울특별시 성북구 하월곡동 96-165,37.606265,127.034528,417,,"그네1, 모래밭1, 시소1, 조합놀이대1",장의자10,,,1983-12-23,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00013,밤골,어린이공원,,서울특별시 성북구 하월곡동 산2-140,37.607541,127.039921,600,체력단련시설3,"모래밭1, 시소1, 조합놀이대1",장의자4,,,1984-02-21,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00014,햇살,어린이공원,,서울특별시 성북구 상월곡동 97-37,37.605878,127.048602,300,체력단련시설3,"모래밭1, 조합놀이대1",장의자8,,,1983-12-23,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00015,향기,어린이공원,,서울특별시 성북구 상월곡동 산1-1,37.60920187,127.045461,1000,,"그네1, 모래밭1, 조합놀이대1",장의자3,,,1983-12-23,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00016,동방,어린이공원,,서울특별시 성북구 장위1동 219-223,37.616598,127.043486,982,체력단련시설4,조합놀이대1,장의자7,,,1967-07-30,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00017,샛별,어린이공원,,서울특별시 성북구 석관동 168-86,37.614016,127.064186,1638,체력단련시설7,"그네1, 모래밭1, 시소1, 조합놀이대1",장의자8,,,1983-12-23,서울특별시 성북구청,02-2241-3668,2021-06-16
11290-00018,돌뫼,어린이공원,,서울특별시 성북구 석관동 산1-77,37.605054,127.052698,350,체력단련시설7,조합놀이대1,"정자1, 장의자6",,,1983-12-23,서울특별시 성북구청,02-2241-3668,2021-06-16
