"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11380-00001,새록어린이공원,어린이공원,,서울특별시 은평구 녹번 158-1,37.6250920000,126.9261780000,956.00,"트윈트위스트 1,스트레칭로라 1,워밍맘 1,철봉1, 평행봉1","조합놀이대1,그네 1,시소2","원형시계1, 화장실1, 사무실1",,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00002,응암어린이공원,어린이공원,,서울특별시 은평구 응암 85-41,37.6153230000,126.9197450000,992.10,"트윈위밍암 1, 파도타기1,크로스컨트리 1,허리돌리기 2,스트레칭로라 1,거꾸리머신 1",조합놀이대1유아용조합놀이대1,화장실1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00003,신록어린이공원,어린이공원,,서울특별시 은평구 녹번 20-6,37.6146890000,126.9156850000,469.00,"온몸당겨올리기 1,온몸밀어올리기 1,무릎펴서 걷기 1,어깨손목돌리기 1,허리돌리기 1, 허리흔들기1 ,레그프레스 1, 체어웨이트1",조합놀이대1,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00004,참다래어린이공원,어린이공원,,서울특별시 은평구 응암 120-22,37.6172650000,126.9132950000,954.40,"크로스컨트리1 허리돌리기1 스트레칭로라 1,스윙워커미신,온몸역기올리기 1,옆파도타기 1","조합놀이대1,그네1,시소1,흔들놀이5,모래놀이시설",음수대1 화장실1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00005,포수동어린이공원,어린이공원,,서울특별시 은평구 응암 115-25,37.6251350000,126.9185350000,987.80,"어깨손목돌리기1,무릎펴서걷기1,온몸비틀기1","조합놀이대1,그네1,모래놀이시설",화장실1 음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00006,시루메어린이공원,어린이공원,,서울특별시 은평구 증산 185-1,37.6039730000,126.9237280000,999.60,철봉1,"조합놀이대1,유아용조합놀이대1,그네 1,흔들놀이2",화장실1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00007,연서어린이공원,어린이공원,,서울특별시 은평구 역촌 32-36,37.6051140000,126.9381260000,956.00,"온몸허리돌리기2,거꾸리머신1,온몸근육풀기1,온몸지압기1,하늘걷기1,옆파도타기1","조합놀이대1,그네 1,시소2,흔들놀이 2",화장실1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00008,역마을어린이공원,어린이공원,,서울특별시 은평구 역촌 39-2,37.6016790000,126.9235170000,949.10,"온몸허리돌리기,옆파도타기1,온몸역기올리기,온몸근육풀기1,하늘걷기,마라톤운동1","조합놀이대1,그네1,모래놀이시설","화장실1 화장실1,관리실1",,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00009,역말어린이공원,어린이공원,,서울특별시 은평구 역촌 47-1,37.5980430000,126.9194460000,966.30,"트윈스텝싸이클1,트윈체어풀1,트윈크로스컨트리1,철봉1,파도타기1, 공중걷기1","조합놀이대1,그네1,유아조합놀이대1,흔들놀이대2,모래놀이시설","화장실1, 음수대1",,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00010,인조유기비어린이공원,어린이공원,,서울특별시 은평구 역촌 8-11,37.5953670000,126.9173740000,1256.90,"롤링웨이스트 1,크로스컨트리 1",조합놀이대 1,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00011,대조어린이공원,어린이공원,,서울특별시 은평구 대조 212,37.6010730000,126.9184780000,4176.90,"옆파도타기 1,온몸근육풀기 1,온몸역기올리기 1,마라톤운동 1,온몸지압기 1,온몸허리돌리기 1,하늘걷기 1,거꾸리머신 1, 바디싣업 1","조합놀이대1,유아용조합놀이대1,흔들놀이2,기타2,건너는기구1,모래놀이시설","공중전화2,시계탑1,화장실1,음수대2",,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00012,길마어린이공원,어린이공원,,서울특별시 은평구 갈현 474-1,37.6068760000,126.9142380000,1596.70,"파도타기 1(2020.),입식헬스싸이클 1,상체근육풀기 1,역기올리기 1,전신하늘걷기 1,트위스트머신 1,달리기운동 1","조합놀이대1,유아용조합놀이대1,그네1, 시소2,흔들놀이 2,날으는흔들놀이 2","파고라3,등의자8,연식의자2",,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00013,궁말어린이공원,어린이공원,,서울특별시 은평구 갈현 327-21,37.6086410000,126.9165130000,1190.00,"파도타기1,허리돌리기1,무릎펴서걷기1","조합놀이대1,요술 거울5,흔들놀이2,모래놀이시설","안내판3,공원등3,CCTV2,음수대1",,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00014,박석어린이공원,어린이공원,,서울특별시 은평구 갈현 416-3,37.6168460000,126.9089510000,856.90,"파도타기 1,공중걷기 1,좌식자전거운동 1,철봉 1","조합놀이대1,그네1,흔들놀이3","화장실1,음수대1",,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00015,좌월어린이공원,어린이공원,,서울특별시 은평구 갈현 513-1,37.5989140000,126.9113120000,1398.30,"허리돌리기 2, 철봉 1,윗몸일으키기 1,온몸역기올리기 1,온몸근육풀기 1,거꾸리머신 1,러닝싸이클 1,옆회전운동 1,공중걷기 1,싸이클링트레이너 1","조합놀이대1,유아용조합놀이대1,그네 1, 흔들놀이 1,흔들말 2",화장실1 (25㎡),,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00016,갈곡리어린이공원,어린이공원,,서울특별시 은평구 갈현 436-51,37.5959460000,126.9119540000,1738.70,"워밍암 1,크로스컨트리 1,체어웨이트 1,파도타기 1","조합놀이대2,시소 1,그네 1,흔들놀이2",음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00017,새락골어린이공원,어린이공원,,서울특별시 은평구 신사 5-21,37.5829940000,126.9065590000,994.00,"하늘걷기1,옆파도타기1,멀티즘1","조합놀이대1, 그네1,시소2,흔들놀이2",화장실1(49.35㎡) 음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00018,호연어린이공원,어린이공원,,서울특별시 은평구 녹번 95-44,37.6040980000,126.9166510000,528.00,,"싱글워밍맘1,트윈트위스트머신1",안내판1 공원등3 CCTV1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00019,분토골어린이공원,어린이공원,,서울특별시 은평구 증산 163-34,37.6214820000,126.9157070000,996.00,"허리흔들기1,허리돌리기1,하늘걷기1","조합놀이대1,그네1,흔들놀이2,모래놀이시설",화장실1 (19.8㎡),,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00020,서갈현어린이공원,어린이공원,,서울특별시 은평구 갈현 434-38,37.5832680000,126.9161270000,1532.20,"파도타기 1,공중걷기 1,달리기운동 1","조합놀이대1,그네1,흔들말3,모래놀이시설",화장실1(42.6㎡) 음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00021,새장골어린이공원,어린이공원,,서울특별시 은평구 불광 444-1,37.6110110000,126.9080750000,992.00,"어께손목돌리기1,무릎펴서걷기1,허리돌리기1","조합놀이대1,그네1,모래놀이시설",화장실1(25㎡) 음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00022,시내어린이공원,어린이공원,,서울특별시 은평구 불광 444-15,37.6071880000,126.9077770000,659.00,,"조합놀이대1,그네1,흔들놀이2",음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00023,관동어린이공원,어린이공원,,서울특별시 은평구 불광 270-11,37.6239920000,126.9165080000,331.00,"헨들웨이트1,롤링웨이스트1,멀티즘1",조합놀이대1,음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
11380-00024,가람어린이공원,어린이공원,,서울특별시 은평구 불광 448-51,37.5867110000,126.9116990000,249.00,,"조합놀이대1,그네1",,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01
