"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11110-00030,창신공원,어린이공원,,서울특별시 종로구 창신동 23-362,37.578276,127.012931,710,,"시소,조합놀이",,,,2013-10-10,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00032,무악공원,어린이공원,,서울특별시 종로구 무악동 산2-83,37.577525,126.960547,5136,,,음수대,,,2015-09-13,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00033,창덕공원,근린공원,서울특별시 종로구 율곡로 99 (와룡동),서울특별시 종로구 와룡동 2-71,37.578868,126.989712,491328,,,음수대,,,1962-12-20,"서울특별시 종로구청, 문화재청",02-2148-2842,2021-07-09
11110-00034,청진공원,근린공원,,서울특별시 종로구 청진동 146-3,37.571415,126.979819,2802,,,,,,1977-06-29,서울특별시 종로구청,02-2148-2842,2021-07-09
11110-00029,낙산공원,어린이공원,서울특별시 종로구 창신길 210-11 (창신동),서울특별시 종로구 창신동 611-19,37.579546,127.010184,660,,"시소,조합놀이",,,,2013-10-10,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00001,참샘골공원,어린이공원,,서울특별시 종로구 평창동 470,37.614801,126.974498,2737,,"그네,조합놀이",음수대,,,1971-06-28,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00002,감나무골공원,어린이공원,,서울특별시 종로구 평창동 495-4,37.612876,126.970377,2403,,"그네,미끄럼틀",음수대,,,1971-06-28,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00003,옥인공원,어린이공원,,서울특별시 종로구 옥인동 187-2,37.582545,126.962407,472.1,,,,,,1974-03-23,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00004,명륜공원,어린이공원,서울특별시 종로구 혜화로9길 24-9 (명륜1가),서울특별시 종로구 명륜1가 23-9,37.588055,126.998279,1149.5,,"모래밭,조합놀이",음수대,,,1980-03-23,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00005,새마을공원,어린이공원,서울특별시 종로구 평창길 14-9 (평창동),서울특별시 종로구 평창동 327-1,37.606448,126.964642,397,,"그네,조합놀이",,,,1983-12-23,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00006,인왕공원,어린이공원,,서울특별시 종로구 무악동 55-1,37.577468,126.956975,1745.8,,,,,,1983-12-23,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00007,원서공원,근린공원,서울특별시 종로구 창덕궁길 19 (원서동),서울특별시 종로구 원서동 181,37.578234,126.988566,10004.6,,,음수대,,,1985-01-18,서울특별시 종로구청,02-2148-2842,2021-07-09
11110-00008,탑골공원,근린공원,서울특별시 종로구 종로 99 (종로2가),서울특별시 종로구 종로2가 38-1,37.570612,126.9880601,14808.7,,,"화장실,공중전화,음수대","동상,탑기념비",,1996-12-16,서울특별시 종로구청,02-2148-2842,2021-07-09
11110-00009,연지1공원,어린이공원,,서울특별시 종로구 연지동 136-92,37.574379,127.001063,474.2,,"그네,모래밭,조합놀이",음수대,,,1998-10-09,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00010,연지공원,근린공원,,서울특별시 종로구 연지동 1-38,37.575758,127.000795,2827.6,,,,,,1999-11-13,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00011,내수어울공원,근린공원,,서울특별시 종로구 내수동 71-2,37.573911,126.970542,2392.1,체력단련시설,,음수대,,,2000-03-09,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00012,내수공원,근린공원,,서울특별시 종로구 내수동 73-3,37.572497,126.971637,2192.2,체력단련시설,,음수대,,,2000-03-09,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00013,사직공원,근린공원,서울특별시 종로구 사직로9길 7 (사직동),서울특별시 종로구 사직동 1-28,37.57628582,126.9682319,168099.8,"궁도장,배드민턴장,체력단련시설",,"매점,화장실,공중전화,음수대,샘터","도서관,동상,탑기념비",,2006-07-06,서울특별시 종로구청,02-2148-2835,2021-07-09
11110-00014,월암공원,근린공원,,서울특별시 종로구 송월동 1-2,37.571311,126.965634,10662,체력단련시설,,,야외음악당,,2006-08-31,서울특별시 종로구청,02-2148-2843,2021-07-09
11110-00015,경학공원,어린이공원,서울특별시 종로구 성균관로5길 25-13 (명륜3가),서울특별시 종로구 명륜3가 53-2,37.584487,126.996902,3269,,,,,,2009-01-22,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00016,후창공원,소공원,,서울특별시 종로구 평창동 568-2,37.610258,126.964365,1920,,,,,,2009-05-28,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00017,서린공원,소공원,서울특별시 종로구 종로 30-1 (서린동),서울특별시 종로구 서린동 82,37.569989,126.980784,1398,,,,,,2009-05-28,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00018,덕수공원,소공원,,서울특별시 종로구 신문로1가 174-7,37.569254,126.974735,869.2,,,,,,2009-05-28,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00019,경희궁공원,역사공원,서울특별시 종로구 새문안로 55 (신문로2가),서울특별시 종로구 신문로2가 2-1,37.57049685,126.9710752,100930,체력단련시설,,"자판기,음수대",,,2009-05-28,서울특별시 종로구청,02-2148-2843,2021-07-09
11110-00020,동묘공원,역사공원,서울특별시 종로구 난계로27길 84 (숭인동),서울특별시 종로구 숭인동 238-1,37.573162,127.018284,8450,,,"화장실,공중전화,음수대",탑기념비,,2009-05-28,서울특별시 종로구청,02-2148-2843,2021-07-09
11110-00021,마로니에공원,문화공원,서울특별시 종로구 대학로 104 (동숭동),서울특별시 종로구 동숭동 1-124,37.580336,127.002513,5802,,,,,,2009-05-28,서울특별시 종로구청,02-2148-2842,2021-07-09
11110-00022,삼청공원,근린공원,서울특별시 종로구 북촌로 134-1 (삼청동),서울특별시 종로구 삼청동 산2-1,37.58769948,126.983451,468348.2,"테니스장,농구장,배드민턴장,체력단련시설",,"화장실,샘터","동상,탑기념비",,2020-06-29,서울특별시 종로구청,02-2148-2843,2021-07-09
11110-00023,와룡공원,근린공원,서울특별시 종로구 와룡공원길 192 (명륜3가),서울특별시 종로구 명륜3가 53-52,37.591168,126.990122,204369,"테니스장,배드민턴장,체력단련시설",,"화장실,음수대",,,2010-01-21,서울특별시 종로구청,02-2148-2843,2021-07-09
11110-00024,숭인공원,근린공원,서울특별시 종로구 동망산길 150 (숭인동),서울특별시 종로구 숭인동 58,37.57756126,127.0181626,45615,"농구장,배드민턴장,체력단련시설",,"화장실,음수대",,,2010-04-22,서울특별시 종로구청,02-2148-2843,2021-07-09
11110-00025,평창공원,소공원,,서울특별시 종로구 평창동 108-3,37.610096,126.977439,1117.6,,,,,,2010-05-13,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00026,흥인지문공원,근린공원,,서울특별시 종로구 종로6가 70,37.572637,127.008919,11519.7,,,,,,2010-09-09,서울특별시 종로구청,02-2148-2842,2021-07-09
11110-00027,수송공원,근린공원,,서울특별시 종로구 수송동 80-7,37.573998,126.981143,3567.2,,,,"동상,탑기념비",,2010-12-30,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00028,지봉골공원,어린이공원,서울특별시 종로구 지봉로13길 14 (창신동),서울특별시 종로구 창신동 산6-25,37.578947,127.014468,2508,,조합놀이,,,,2013-10-10,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00031,인왕산공원,근린공원,,서울특별시 종로구 옥인동 179-1,37.583336,126.963713,201704,"배드민턴장, 체력단련시설","미끄럼틀, 조합놀이대","화장실, 음수대",도서관,,2020-06-29,서울특별시 종로구청,02-2148-2835,2021-07-09
11110-00035,북한산공원,근린공원,서울특별시 종로구 북악산로 267,서울특별시 종로구 평창동 산6-17,37.601976,126.980549,19902.4,,,"화장실, 편의점",,팔각정,2020-06-29,서울특별시 종로구청,02-2148-2832,2021-07-09
11110-00036,달바위공원,소공원,,서울특별시 종로구 송월동 145-2,37.570172,126.965838,3317.8,,,,,,2006-04-13,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00037,솔빛공원,소공원,,서울특별시 종로구 송월동 145-3,37.569973,126.965774,1793.3,,,,,,2016-09-08,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00038,소담공원,소공원,,서울특별시 종로구 행촌동 211-4,37.572146,126.961564,491.4,,,,,,2017-03-30,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00039,부암튼튼공원,소공원,,서울특별시 종로구 부암동 262-1,37.592305,126.964166,1258,족구장,"미끄럼틀, 암벽오르기",,,,2011-06-09,서울특별시 종로구청,02-2148-2832,2021-07-09
11110-00040,의주공원,소공원,,서울특별시 종로구 무악동 46-71,37.573679,126.960267,364,,,,,,2006-03-23,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00041,도렴공원,역사공원,,서울특별시 종로구 신문로1가 240-2,37.570953,126.973709,832.8,,,,,,2017-05-04,서울특별시 종로구청,02-2148-2845,2021-07-09
11110-00042,공평공원,역사공원,,서울특별시 종로구 인사동 275,,,219.9,,,,,,2020-07-02,서울특별시 종로구청,02-2148-2845,2021-07-09
