"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11260-00001,용마도시자연공원,도시농업공원,,서울특별시 중랑구 면목동 산 1-1,37.58411925,127.1078998,2800624,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00002,봉화산근린공원,근린공원,,서울특별시 중랑구 묵동 산 46-1,37.60823987,127.0841101,977500,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00003,신내공원,근린공원,,서울특별시 중랑구 신내동 652,37.61374917,127.0892086,18699,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00004,신내어울공원,근린공원,,서울특별시 중랑구 신내동 317-2,37.61163479,127.0974178,12937,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00005,능산공원,근린공원,,서울특별시 중랑구 신내동 317-2,37.61163479,127.0974178,12372,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00006,구릉공원,근린공원,,서울특별시 중랑구 신내동,37.610330,127.096100,19651,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00007,능말공원,근린공원,,서울특별시 중랑구 신내동 111-31,37.61535601,127.1070691,13101,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00008,배말공원,근린공원,,서울특별시 중랑구 신내동 산 8-9,37.61401402,127.1123054,13902,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00009,원  묵,어린이공원,,서울특별시 중랑구 묵1 13-1,37.616710,127.084800,1501,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00010,서  당,어린이공원,,서울특별시 중랑구 묵1 20-1,37.617030,127.088100,2000,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
11260-00011,은하수,어린이공원,,서울특별시 중랑구 신내2 650-1,37.615620,127.091200,2000,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12
