"관리번호",공원명,공원구분,소재지지번주소,소재지도로명주소,위도(WGS84좌표),경도(WGS84좌표),공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,연락처,데이터기준일자
11380-00001,새록어린이공원,어린이공원,서울특별시 은평구 녹번동 158-1,서울특별시 은평구 은평로13길 35(녹번동),37.603973,126.923728,956,,"조합놀이대,시소,그네",화장실,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00002,호연어린이공원,어린이공원,서울특별시 은평구 녹번동 95-44,,37.605483,126.930922,528,,"조합놀이대,시소,그네",,,,1991-02-26,은평구시설관리공단,02-350-5254,2015-09-01
11380-00003,신록어린이공원,어린이공원,서울특별시 은평구 녹번동 20-6,,37.605114,126.938126,469,,"조합놀이대,흔들놀이",,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00004,응암어린이공원,어린이공원,서울특별시 은평구 응암동 85-41,서울특별시 은평구 은평로11길 10 (응암동),37.601679,126.923517,992,,"조합놀이대,그네",화장실,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00005,포수동어린이공원,어린이공원,서울특별시 은평구 응암동 115-25,,37.598043,126.919446,988,,"조합놀이대,그네,흔들놀이,회전자전거",화장실,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00006,응암9구역어린이공원,어린이공원,서울특별시 은평구 응암동670-25외16필지,,37.586731,126.923094,1218,,"조합놀이대,경사놀이대,그네,시소,흔들놀이",,,,2005-12-29,은평구시설관리공단,02-350-5254,2015-09-01
11380-00007,참다래어린이공원,어린이공원,서울특별시 은평구 응암동 120-22,,37.595367,126.917374,954,,"조합놀이대,시소,그네",화장실,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00008,응암4동어린이공원,어린이공원,서울특별시 은평구 응암동 742-9,,37.583268,126.916127,1526,,"조합놀이대,그네",,,,1976-08-26,은평구시설관리공단,02-350-5254,2015-09-01
11380-00009,다래어린이공원,어린이공원,"서울특별시 은평구 응암동 751-22, 23",,37.587111,126.919033,585,,"조합놀이대,그네,흔들놀이",,,,2004-12-27,은평구시설관리공단,02-350-5254,2015-09-01
11380-00010,시루메어린이공원,어린이공원,서울특별시 은평구 증산동 185-1,,37.582994,126.906559,1000,,"조합놀이대,그네,흔들놀이",화장실,,,1968-11-05,은평구시설관리공단,02-350-5254,2015-09-01
11380-00011,까치어린이공원,어린이공원,서울특별시 은평구 증산동 180-1,,37.579911,126.904073,1005,,"조합놀이대,그네,흔들놀이",화장실,,,1968-11-05,은평구시설관리공단,02-350-5254,2015-09-01
11380-00012,분토골어린이공원,어린이공원,서울특별시 은평구 증산동 163-34,,37.586711,126.911699,996,,"조합놀이대,그네",화장실,,,1978-07-04,은평구시설관리공단,02-350-5254,2015-09-01
11380-00013,연서어린이공원,어린이공원,서울특별시 은평구 역촌동 32-36,서울특별시 은평구 연서로6길 8-1 (역촌동),37.604098,126.916651,956,,"조합놀이대,그네,시소,흔들놀이",화장실,,,1968-11-05,은평구시설관리공단,02-350-5254,2015-09-01
11380-00014,역마을어린이공원,어린이공원,서울특별시 은평구 역촌동 39-2,,37.601073,126.918478,949,,"조합놀이대,그네,흔들놀이",화장실,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00015,역말어린이공원,어린이공원,서울특별시 은평구 역촌동 47-1,서울특별시 은평구 갈현로14길 32 (역촌동),37.606876,126.914238,966,,"조합놀이대,그네,시소,흔들놀이",화장실,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00016,인조유기비어린이공원,어린이공원,서울특별시 은평구 역촌동 8-11,서울특별시 은평구 연서로10길 20 (역촌동),37.608641,126.916513,1257,,조합놀이대,,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00017,대조어린이공원,어린이공원,서울특별시 은평구 대조동 212,서울특별시 은평구 연서로22길 9-30 (대조동),37.615323,126.919745,4177,,"조합놀이대,회전놀이대,흔들놀이",화장실,,,1965-11-08,은평구시설관리공단,02-350-5254,2015-09-01
11380-00018,길마어린이공원,어린이공원,서울특별시 은평구 갈현동 474-1,서울특별시 은평구 연서로21길 15 (갈현동),37.614689,126.915685,1597,,"조합놀이대,흔들놀이,시소,그네",화장실,,,1965-11-08,은평구시설관리공단,02-350-5254,2015-09-01
11380-00019,궁말어린이공원,어린이공원,서울특별시 은평구 갈현동 327-21,,37.616846,126.908951,1190,,조합놀이대,,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00020,좌월어린이공원,어린이공원,서울특별시 은평구 갈현동 513-1,서울특별시 은평구 갈현로25길 11-8 (갈현동),37.617265,126.913295,1398,,"조합놀이대,그네,시소,흔들놀이",화장실,,,1965-11-08,은평구시설관리공단,02-350-5254,2015-09-01
11380-00021,박석어린이공원,어린이공원,서울특별시 은평구 갈현동 416-3,,37.625135,126.918535,857,,"조합놀이대,그네,시소,흔들놀이",화장실,,,1965-11-08,은평구시설관리공단,02-350-5254,2015-09-01
11380-00022,서갈현어린이공원,어린이공원,서울특별시 은평구 갈현동 434-38,,37.621482,126.915707,1532,,"조합놀이대,암벽놀이대,흔들놀이",화장실,,,1971-07-07,은평구시설관리공단,02-350-5254,2015-09-01
11380-00023,갈곡리어린이공원,어린이공원,서울특별시 은평구 갈현동 436-51,,37.623992,126.916508,1739,,"조합놀이대,시소,그네,흔들놀이",화장실,,,1978-07-03,은평구시설관리공단,02-350-5254,2015-09-01
11380-00024,새장골어린이공원,어린이공원,서울특별시 은평구 불광동 444-1,서울특별시 은평구 연서로37가길 10-12 (불광동),37.625092,126.926178,992,,"조합놀이대,그네,시소,흔들놀이",화장실,,,1965-07-08,은평구시설관리공단,02-350-5254,2015-09-01
11380-00025,시내어린이공원,어린이공원,서울특별시 은평구 불광동 444-15,,37.624806,126.927410,659,,"조합놀이대,시소,그네,흔들놀이",,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00026,가람어린이공원,어린이공원,서울특별시 은평구 불광동 448-11,,37.626369,126.925398,249,,"조합놀이대,그네",,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00027,관동어린이공원,어린이공원,서울특별시 은평구 불광동 270-11,,37.613620,126.929777,331,,조합놀이대,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00028,불광어린이공원,어린이공원,서울특별시 은평구 불광동 236-5,,37.616340,126.931455,496,,"조합놀이대,그네",,,,2001-11-15,은평구시설관리공단,02-350-5254,2015-09-01
11380-00029,연신어린이공원,어린이공원,서울특별시 은평구 불광1동 339,,37.610307,126.931945,1236,,"조합놀이대,그네",,,,2003-11-10,은평구시설관리공단,02-350-5254,2015-09-01
11380-00030,새락골어린이공원,어린이공원,서울특별시 은평구 신사동 5-21,서울특별시 은평구 은평로3가길 34 (신사동),37.598914,126.911312,994,,"조합놀이대,그네,시소,흔들놀이",화장실,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00031,신흥어린이공원,어린이공원,서울특별시 은평구 신사동 31-2,서울특별시 은평구 증산로21길 25 (신사동),37.595946,126.911954,938,,"조합놀이대,그네,시소,흔들놀이",화장실,,,1967-01-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00032,개나리어린이공원,어린이공원,서울특별시 은평구 신사동 237-177,,37.595561,126.904347,2896,,조합놀이대,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00033,아까시아어린이공원,어린이공원,서울특별시 은평구 신사동 200-27,서울특별시 은평구 은평터널로 178-1 (신사동),37.594385,126.908643,982,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00034,도원극장옆마을마당,소공원,서울특별시 은평구 녹번동 74-5,,37.601518,126.929762,49,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00035,자투리토지녹번마을마당,소공원,서울특별시 은평구 녹번동 103-23,,37.605848,126.926897,165,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00036,녹번동마을마당,소공원,서울특별시 은평구 녹번동  104-7,,37.605954,126.927616,754,,조합놀이대,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00037,불광위령탑마을마당,소공원,서울특별시 은평구 불광1동  247,,37.616116,126.930421,940,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00038,불광동마을마당,소공원,서울특별시 은평구 불광2동  331-106,,37.618709,126.927067,324,,,,,,2001-09-15,은평구시설관리공단,02-350-5254,2015-09-01
11380-00039,연천초교앞마을마당,소공원,서울특별시 은평구 불광2동  137-5,,37.621404,126.928596,347,,조합놀이대,,,,2003-12-10,은평구시설관리공단,02-350-5254,2015-09-01
11380-00040,불광3동마을숲마을마당,소공원,서울특별시 은평구 불광2동  480-181,,37.624534,126.923743,807,,조합놀이대,,,,2004-05-10,은평구시설관리공단,02-350-5254,2015-09-01
11380-00041,연신초교앞마을마당,소공원,서울특별시 은평구 불광2동  69,,37.626791,126.928717,711,,"조합놀이대,그네",,,,2007-05-10,은평구시설관리공단,02-350-5254,2015-09-01
11380-00042,갈현동마을마당,소공원,서울특별시 은평구 갈현2동  526-6,,37.614968,126.910327,250,,,,,,2001-09-15,은평구시설관리공단,02-350-5254,2015-09-01
11380-00043,구산동마을공원(확대),소공원,서울특별시 은평구 구산동  345-6,,37.614886,126.907774,157,,,,,,2008-02-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00044,구산마을마당,소공원,서울특별시 은평구 구산동  173-23,,37.608536,126.907223,387,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
